map_1800_1,map_1800_2,map_1800_3
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,100
8,8,100
8,8,100
8,8,100
11,12,37
11,12,16
11,12,16
11,12,16
11,12,16
12,30,54
12,18,111
12,18,23
12,18,111
12,18,23
12,20,26
12,13,31
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
12,13,31
11,12,37
11,12,16
11,12,16
11,12,16
11,12,16
11,12,16
11,12,16
11,12,16
11,12,16
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,12,16
11,11,13
11,11,13
11,11,13
11,12,16
11,12,37
11,12,16
11,12,16
11,12,16
12,30,54
12,30,57
12,30,57
12,30,57
12,18,62
12,18,52
12,18,62
12,18,52
12,20,26
12,20,26
12,20,79
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,30,54
12,30,54
12,30,98
12,18,23
12,18,23
12,20,26
12,20,132
12,13,31
12,13,31
12,13,31
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,11
8,8,72
8,8,72
8,8,72
8,8,72
8,8,11
8,8,8
8,8,11
3,38,89
3,38,89
3,38,89
3,38,89
3,38,89
3,38,89
3,38,69
3,38,0
3,38,0
3,38,0
3,38,0
3,38,0
3,31,63
3,31,63
12,30,54
12,30,57
12,30,57
12,30,57
12,20,26
12,20,132
12,20,132
12,20,79
12,20,79
12,20,79
12,20,79
12,13,17
12,13,17
12,13,17
12,13,17
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
12,30,54
12,18,107
12,18,107
12,18,107
12,20,26
12,20,26
12,20,26
12,20,26
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
12,13,17
